"Rwreg Nr.
(Fcode: 0x03, 0x06)",Wertebereich,"Zugeordnete Größe
und Einheit",Messwerteigenschaft,protected
0,0 .. 65535 [0],,Kundencode: zur freien Belegung z.B. Raumcode *,
,,,,
2,0 … 1000 [11111],0 … 100.0 vol%,Messwertvorgabe für Testzwecke,
3,0 … 2500 [11111],"0 … 25,00 mA",Ausgangsstrom vorgeben für Testzwecke,
4,-200 … 600 [11111],"-20,0 … 60,0 °C",Temperatur vorgeben für Testzwecke,
,,,,
6,0 … 5000 [11111],0 … 5000 ppm,Messwertvorgabe für Testzwecke,
,,,,
10,0 … 16383 [0],,Sensorspannung im Nullpunkt *,
11,0,0,Sensorwert Nullpunkt = 0 *,
12,0 … 16383 [3300],,Sensorspannung im Kalibrierpunkt ( bei Endwert) *,
13,0 … 1000 [209],20.9 vol%,Sensorwert im Kalibrierpunkt (bei Endwert) *,
,,,,
15,0 … 10000 [0],0 … 1000 [0 ppm],Messwert unten für Ausgangsstrom unten *,
16,0 … 2500 [400],"0 … 25,00 [4 mA]",Ausgangsstrom im unteren Punkt *,
17,0 … 10000 [x],0 … 10000 [x],Messwert oben für Ausgangsstrom oben *,
18,0 … 2500 [2000],"0 … 25,00 [20 mA]",Ausgangsstrom im oberen Punkt *,
,,,,
25,0 … 10000 [0],0 … 1000 [0 ppm],Messwert unten für Ausgangsstrom unten *,
26,0 … 2500 [400],"0 … 25,00 [4 mA]",Ausgangsstrom im unteren Punkt *,
27,0 … 10000 [5000],0 … 100000 [50000ppm],Messwert oben für Ausgangsstrom oben *,
28,0 … 2500 [2000],"0 … 25,00 [20 mA]",Ausgangsstrom im oberen Punkt *,
,,,,
34,0 … 16000 [11111],,Sensor AD-Wert vorgeben für Testzwecke,
35,1 ... 200 [100],,O2 Verst *,
36,1 ... 200 [100],,O2 Verst.neu *,
37,1 ... 100 [10],,Faktor für Mittelwertbildung (O2) *,
,,,,
68,0 ... 3 [3],,Automode: Bit_0 für O2 Bit_1 für CO2C *,
69,0 / 1,,derzeitiger Mode bei CO2 Sonde (1 = Auto) (nicht besch.),
70,0 / 1,,Kalibrierung bei CO2 ist eingeschalten (nicht beschreiben),
71,0 ... 20,,Einschaltzeit (ersten 20min) (nicht beschreiben),
,,,,
73,0 ... 3 [0],,Kalibr. Starten Bit_0 O2 ; Bit_1 CO2,
,,,,
75,0 ... 10080,,O2 Intervallzaehler 7 Tage (nicht beschreiben),
76,0 ... 65535,,Anzahl der Kalibrierungen O2-Sonde *,
,,,,
79,0 … 65535,,Neustart / Grunddaten / entsichern,
80,1 … 247 [1],,Modbus-Geräteadresse *,x
81,0 … 3 [1],,Modbus Baudrate *,x
82,0 … 4 [0],,Modbus Mode *,x
83,10 .. 1000 [180],,Kalibrierwert Ausgangsstrom 4mA *,x
84,10 … 1000 [900],,Kalibrierwert Ausgangsstrom 20mA *,x
,,,,
90,0 ... 65535,,Anzahl der Kalibrierungen CO2-Sonde *,x
91,0 ... 65535,,Anzahl der Kalibrierungen O2-Sonde *,x
,,,,
95,"0, 129 … 256 [90]",,Sensornummer für MCS4000 - Mode,x
96,0 … 65535,,Einschaltzähler *,x
97,0 … 65535,,Betriebsstunden *,x
98,0 … 65535,,Gerätekennung vom Werk *,x
99,0 … 65535,,Arbeitsweise vom Werk *,x
