"Rwreg Nr.
(Fcode: 0x03, 0x06)",Wertebereich,"Zugeordnete Größe
und Einheit",Messwerteigenschaft,protected
0,0 .. 65535 [0],,Kundencode: zur freien Belegung z.B. Raumcode *,
,,,,
2,0 … 1000 [11111],0 … 100.0 % UEG,Messwertvorgabe für Testzwecke,
3,0 … 2500 [11111],"0 … 25,00 mA",Ausgangsstrom vorgeben für Testzwecke,
4,-200 … 600 [11111],"-20,0 … 60,0 °C",Temperatur vorgeben für Testzwecke,
,,,,
10,0 … 16383,,Sensorspannung im Nullpunkt *,
11,0,0,Sensorwert Nullpunkt = 0 *,
12,0 … 16383,,Sensorspannung im Kalibrierpunkt ( bei Endwert) *,
13,0 … 1000,0 … 100.0 %UEG,Sensorwert im Kalibrierpunkt (bei Endwert) *,
,,,,
15,0 … 1000 [0],0 … 100.0 %UEG [0],Messwert unten für Ausgangsstrom unten *,
16,0 … 2500 [400],"0 … 25,00 mA [4 mA]",Ausgangsstrom im unteren Punkt *,
17,0 … 1000 [1000],0 … 100.0 %UEG[1000ppm],Messwert oben für Ausgangsstrom oben *,
16,0 … 2500 [2000],"0 … 25,00 mA [20 mA]",Ausgangsstrom im oberen Punkt *,
,,,,
33,0 ... 1,,Zuschalten vor Hardwareverstärkung 0 (hoch) *,
34,0 … 16000 [11111],,Sensor AD-Wert vorgeben für Testzwecke,
,,,,
37,1 ... 100 [10],,Faktor für Mittelwertbildung *,
,,,,
50,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei -20°C *,
51,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 0°C *,
52,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 10°C *,
53,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 20°C *,
54,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 30°C *,
55,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 40°C *,
56,50 ... 200,"0,50 … 2,00",Kennlinie vom Sensorhersteller bei 60°C *,
,,,,
66,100 ... 12000 [2000],,Vorgegebener Nullpunktwert *,
67,0 ... 1023 [500],,Nullpunktparameter [11111 = Nullpunktsuche] *,
,,,,
79,0 … 65535,,Neustart / Grunddaten / entsichern,
80,1 … 247 [1],,Modbus-Geräteadresse *,x
81,0 … 3 [1],,Modbus Baudrate *,x
82,0 … 4 [0],,Modbus Mode *,x
83,10 .. 1000 [180],,Kalibrierwert Ausgangsstrom 4mA *,x
84,10 … 1000 [900],,Kalibrierwert Ausgangsstrom 20mA *,x
,,,,
95,"0, 129 … 256 [90]",,Sensornummer für MCS4000 - Mode,x
96,0 … 65535,,Einschaltzähler *,x
97,0 … 65535,,Betriebsstunden *,x
98,0 … 65535,,Gerätekennung vom Werk *,x
99,0 … 65535,,Arbeitsweise vom Werk *,x
